chap_global,book_num,chapter_num,character,word,count_norm
3,1,3,sokka,identity,0.0
3,1,3,sokka,justice,7.6923076923076925
3,1,3,suki,compassion,0.0
3,1,3,suki,conflict_doubt,0.0
3,1,3,suki,duty_honor,0.0
3,1,3,suki,identity,0.0
3,1,3,suki,justice,0.0
3,1,3,toph,compassion,0.0
3,1,3,toph,conflict_doubt,0.0
3,1,3,toph,duty_honor,0.0
3,1,3,toph,identity,0.0
3,1,3,toph,justice,0.0
3,1,3,zhao,compassion,0.0
3,1,3,zhao,conflict_doubt,8.287292817679557
3,1,3,zhao,duty_honor,2.7624309392265194
3,1,3,zhao,identity,0.0
3,1,3,zhao,justice,0.0
3,1,3,zuko,compassion,8.403361344537815
3,1,3,zuko,conflict_doubt,8.403361344537815
3,1,3,zuko,duty_honor,4.201680672268908
3,1,3,zuko,identity,0.0
3,1,3,zuko,justice,8.403361344537815
4,1,4,aang,compassion,9.237875288683602
4,1,4,aang,conflict_doubt,9.237875288683602
4,1,4,aang,duty_honor,2.3094688221709005
4,1,4,aang,identity,2.3094688221709005
4,1,4,aang,justice,4.618937644341801
4,1,4,azula,compassion,0.0
4,1,4,azula,conflict_doubt,0.0
4,1,4,azula,duty_honor,0.0
4,1,4,azula,identity,0.0
4,1,4,azula,justice,0.0
4,1,4,iroh,compassion,0.0
4,1,4,iroh,conflict_doubt,18.18181818181818
4,1,4,iroh,duty_honor,0.0
4,1,4,iroh,identity,0.0
4,1,4,iroh,justice,0.0
4,1,4,jet,compassion,0.0
4,1,4,jet,conflict_doubt,0.0
4,1,4,jet,duty_honor,0.0
4,1,4,jet,identity,0.0
4,1,4,jet,justice,0.0
4,1,4,katara,compassion,8.771929824561402
4,1,4,katara,conflict_doubt,8.771929824561402
4,1,4,katara,duty_honor,0.0
4,1,4,katara,identity,0.0
4,1,4,katara,justice,14.619883040935672
4,1,4,roku,compassion,0.0
4,1,4,roku,conflict_doubt,0.0
4,1,4,roku,duty_honor,0.0
4,1,4,roku,identity,0.0
4,1,4,roku,justice,0.0
4,1,4,sokka,compassion,9.195402298850574
4,1,4,sokka,conflict_doubt,11.494252873563218
4,1,4,sokka,duty_honor,2.2988505747126435
4,1,4,sokka,identity,4.597701149425287
4,1,4,sokka,justice,6.896551724137931
4,1,4,suki,compassion,6.578947368421052
4,1,4,suki,conflict_doubt,9.868421052631579
4,1,4,suki,duty_honor,3.289473684210526
4,1,4,suki,identity,6.578947368421052
4,1,4,suki,justice,6.578947368421052
4,1,4,toph,compassion,0.0
4,1,4,toph,conflict_doubt,0.0
4,1,4,toph,duty_honor,0.0
4,1,4,toph,identity,0.0
4,1,4,toph,justice,0.0
4,1,4,zhao,compassion,0.0
4,1,4,zhao,conflict_doubt,0.0
4,1,4,zhao,duty_honor,0.0
4,1,4,zhao,identity,0.0
4,1,4,zhao,justice,0.0
4,1,4,zuko,compassion,15.873015873015872
4,1,4,zuko,conflict_doubt,23.809523809523807
4,1,4,zuko,duty_honor,0.0
4,1,4,zuko,identity,0.0
4,1,4,zuko,justice,0.0
5,1,5,aang,compassion,5.692599620493358
5,1,5,aang,conflict_doubt,3.795066413662239
5,1,5,aang,duty_honor,1.8975332068311195
5,1,5,aang,identity,0.0
5,1,5,aang,justice,0.0
5,1,5,azula,compassion,0.0
5,1,5,azula,conflict_doubt,0.0
5,1,5,azula,duty_honor,0.0
5,1,5,azula,identity,0.0
5,1,5,azula,justice,0.0
5,1,5,iroh,compassion,0.0
5,1,5,iroh,conflict_doubt,0.0
5,1,5,iroh,duty_honor,0.0
5,1,5,iroh,identity,0.0
5,1,5,iroh,justice,0.0
5,1,5,jet,compassion,0.0
5,1,5,jet,conflict_doubt,0.0
5,1,5,jet,duty_honor,0.0
5,1,5,jet,identity,0.0
5,1,5,jet,justice,0.0
5,1,5,katara,compassion,5.58659217877095
5,1,5,katara,conflict_doubt,11.1731843575419
5,1,5,katara,duty_honor,0.0
5,1,5,katara,identity,0.0
5,1,5,katara,justice,0.0
5,1,5,roku,compassion,0.0
5,1,5,roku,conflict_doubt,0.0
5,1,5,roku,duty_honor,0.0
5,1,5,roku,identity,0.0
5,1,5,roku,justice,0.0
5,1,5,sokka,compassion,18.69158878504673
5,1,5,sokka,conflict_doubt,0.0
5,1,5,sokka,duty_honor,0.0
5,1,5,sokka,identity,0.0
5,1,5,sokka,justice,9.345794392523365
5,1,5,suki,compassion,0.0
5,1,5,suki,conflict_doubt,0.0
5,1,5,suki,duty_honor,0.0
5,1,5,suki,identity,0.0
5,1,5,suki,justice,0.0
5,1,5,toph,compassion,0.0
5,1,5,toph,conflict_doubt,0.0
5,1,5,toph,duty_honor,0.0
5,1,5,toph,identity,0.0
5,1,5,toph,justice,0.0
5,1,5,zhao,compassion,0.0
5,1,5,zhao,conflict_doubt,0.0
5,1,5,zhao,duty_honor,0.0
5,1,5,zhao,identity,0.0
5,1,5,zhao,justice,0.0
5,1,5,zuko,compassion,0.0
5,1,5,zuko,conflict_doubt,0.0
5,1,5,zuko,duty_honor,0.0
5,1,5,zuko,identity,0.0
5,1,5,zuko,justice,0.0
6,1,6,aang,compassion,0.0
6,1,6,aang,conflict_doubt,12.738853503184714
6,1,6,aang,duty_honor,0.0
6,1,6,aang,identity,0.0
6,1,6,aang,justice,12.738853503184714
6,1,6,azula,compassion,0.0
6,1,6,azula,conflict_doubt,0.0
6,1,6,azula,duty_honor,0.0
6,1,6,azula,identity,0.0
6,1,6,azula,justice,0.0
